path,group,kind,implementation_status,evidence,runtime_certification
lib/app/app_surface_controller.dart,01_foundation_shell,app_shell,foundation_inherited,Receives global theme/page transition/motion policy; no direct file rewrite in this pass.,pending_flutter_device_validation
lib/app/bio_ai_app.dart,01_foundation_shell,app_shell,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/admin/app/bio_ai_admin_app.dart,01_foundation_shell,app_shell,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/admin/features/admin_panel/presentation/controllers/admin_access_controller.dart,11_sale_admin,controller,preserved_support,Logic/support contract intentionally preserved; visual behavior is owned by caller/shared primitives.,pending_flutter_device_validation
lib/app_versions/admin/features/admin_panel/presentation/controllers/admin_controller.dart,11_sale_admin,controller,preserved_support,Logic/support contract intentionally preserved; visual behavior is owned by caller/shared primitives.,pending_flutter_device_validation
lib/app_versions/admin/features/admin_panel/presentation/pages/admin_login_page.dart,11_sale_admin,page,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/admin/features/admin_panel/presentation/pages/admin_shell_page.dart,11_sale_admin,page,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/admin/features/admin_panel/presentation/widgets/admin_access_gate.dart,11_sale_admin,widget,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/admin/features/wellness_rewards/presentation/admin_wellness_rewards_panel.dart,11_sale_admin,presentation_support,preserved_support,Logic/support contract intentionally preserved; visual behavior is owned by caller/shared primitives.,pending_flutter_device_validation
lib/app_versions/admin/router/admin_route_paths.dart,01_foundation_shell,router,foundation_inherited,Receives global theme/page transition/motion policy; no direct file rewrite in this pass.,pending_flutter_device_validation
lib/app_versions/admin/router/admin_router.dart,01_foundation_shell,router,foundation_inherited,Receives global theme/page transition/motion policy; no direct file rewrite in this pass.,pending_flutter_device_validation
lib/app_versions/v1/app/bio_ai_v1_app.dart,01_foundation_shell,app_shell,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/v1/features/ai_chat/presentation/controllers/ai_chat_controller.dart,04_ai_chat_voice,controller,preserved_support,Logic/support contract intentionally preserved; visual behavior is owned by caller/shared primitives.,pending_flutter_device_validation
lib/app_versions/v1/features/ai_chat/presentation/pages/ai_chat_screen.dart,04_ai_chat_voice,page,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/v1/features/ai_voice/presentation/controllers/ai_voice_controller.dart,04_ai_chat_voice,controller,preserved_support,Logic/support contract intentionally preserved; visual behavior is owned by caller/shared primitives.,pending_flutter_device_validation
lib/app_versions/v1/features/ai_voice/presentation/pages/ai_voice_page.dart,04_ai_chat_voice,page,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/v1/features/auth/presentation/pages/v1_auth_entry_page.dart,09_auth_profile_settings,page,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/v1/features/body_metrics/presentation/pages/body_metrics_page.dart,07_health_tracking,page,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/v1/features/community/presentation/pages/community_page.dart,08_features_care,page,foundation_inherited,Receives global theme/page transition/motion policy; no direct file rewrite in this pass.,pending_flutter_device_validation
lib/app_versions/v1/features/daily_health_tracking/presentation/controllers/daily_health_tracking_controller.dart,07_health_tracking,controller,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/v1/features/daily_health_tracking/presentation/controllers/daily_health_tracking_state.dart,07_health_tracking,controller,preserved_support,Logic/support contract intentionally preserved; visual behavior is owned by caller/shared primitives.,pending_flutter_device_validation
lib/app_versions/v1/features/daily_health_tracking/presentation/pages/daily_health_tracking_page.dart,07_health_tracking,page,foundation_inherited,Receives global theme/page transition/motion policy; no direct file rewrite in this pass.,pending_flutter_device_validation
lib/app_versions/v1/features/daily_routine/presentation/pages/daily_routine_preferences_page.dart,06_schedule_proof,page,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
lib/app_versions/v1/features/daily_routine/presentation/widgets/daily_routine_preferences_editor.dart,06_schedule_proof,widget,foundation_inherited,Receives global theme/page transition/motion policy; no direct file rewrite in this pass.,pending_flutter_device_validation
lib/app_versions/v1/features/dashboard/presentation/controllers/dashboard_controller.dart,03_dashboard_menu,controller,preserved_support,Logic/support contract intentionally preserved; visual behavior is owned by caller/shared primitives.,pending_flutter_device_validation
lib/app_versions/v1/features/dashboard/presentation/enums/insight_type.dart,03_dashboard_menu,enum,preserved_support,Logic/support contract intentionally preserved; visual behavior is owned by caller/shared primitives.,pending_flutter_device_validation
lib/app_versions/v1/features/dashboard/presentation/mappers/dashboard_health_status_mapper.dart,03_dashboard_menu,mapper,preserved_support,Logic/support contract intentionally preserved; visual behavior is owned by caller/shared primitives.,pending_flutter_device_validation
lib/app_versions/v1/features/dashboard/presentation/pages/dashboard_page.dart,03_dashboard_menu,page,direct_migrated,Source file changed in Kinetic Aura coding pass.,pending_flutter_device_validation
